review_id,viewer_id,movie_id,rating,review_text,review_date,helpful_votes,sentiment
1,438,28,8.2,Emotional and thought-provoking.,2024-11-20,91,positive
2,20,33,3.8,"Too predictable, fell asleep halfway.",2023-03-25,12,negative
3,431,33,5.7,Decent but forgettable.,2023-05-20,98,neutral
4,782,17,9.6,Emotional and thought-provoking.,2024-12-27,66,positive
5,66,12,5.0,"Some good moments, some slow parts.",2023-07-20,145,neutral
6,447,34,9.5,Best film this year.,2024-08-20,197,positive
7,398,4,9.6,Couldn't stop watching.,2024-11-06,175,positive
8,160,1,6.0,Worth a watch on a lazy evening.,2024-10-09,55,neutral
9,544,36,7.6,Emotional and thought-provoking.,2024-08-18,161,positive
10,657,10,8.7,Couldn't stop watching.,2024-08-29,147,positive
11,827,15,9.6,Couldn't stop watching.,2024-07-01,122,positive
12,897,39,8.2,Absolutely loved it!,2023-04-10,134,positive
13,979,5,5.7,Worth a watch on a lazy evening.,2025-02-01,2,neutral
14,106,33,8.6,Emotional and thought-provoking.,2024-03-26,175,positive
15,863,21,5.3,Decent but forgettable.,2023-11-10,152,neutral
16,802,6,9.1,Couldn't stop watching.,2023-08-19,43,positive
17,523,7,4.9,"Too predictable, fell asleep halfway.",2024-03-22,86,negative
18,813,48,9.8,Incredible performances all around.,2023-03-21,52,positive
19,86,40,5.9,"Some good moments, some slow parts.",2024-08-06,62,neutral
20,119,16,9.1,A masterpiece of modern cinema.,2025-01-31,125,positive
21,693,28,6.6,"Some good moments, some slow parts.",2023-12-17,157,neutral
22,253,32,8.1,Absolutely loved it!,2024-06-15,32,positive
23,329,28,5.8,"Some good moments, some slow parts.",2023-04-23,98,neutral
24,220,39,7.5,Absolutely loved it!,2025-02-24,84,positive
25,258,35,2.7,Comedy that wasn't funny at all.,2023-04-06,188,negative
26,968,13,7.7,Best film this year.,2023-01-25,48,positive
27,207,19,9.1,Best film this year.,2024-08-29,106,positive
28,866,41,2.8,"Too predictable, fell asleep halfway.",2023-11-05,165,negative
29,763,19,7.9,Emotional and thought-provoking.,2023-09-17,137,positive
30,146,8,6.8,Worth a watch on a lazy evening.,2023-08-11,157,neutral
31,572,43,9.3,Best film this year.,2023-11-30,130,positive
32,557,32,2.1,Disappointing compared to the trailer.,2025-03-08,89,negative
33,60,14,5.7,Decent but forgettable.,2023-11-14,195,neutral
34,682,25,8.6,Emotional and thought-provoking.,2024-03-01,82,positive
35,710,27,6.8,Decent but forgettable.,2024-07-12,125,neutral
36,809,18,9.7,Absolutely loved it!,2023-08-22,78,positive
37,89,11,7.7,A masterpiece of modern cinema.,2024-06-15,178,positive
38,945,41,9.6,Absolutely loved it!,2023-01-27,108,positive
39,378,30,5.3,Worth a watch on a lazy evening.,2024-03-07,97,neutral
40,376,27,4.8,Disappointing compared to the trailer.,2024-03-07,127,negative
41,647,4,4.6,Weak plot and flat characters.,2023-08-08,96,negative
42,452,44,7.8,A masterpiece of modern cinema.,2023-04-08,8,positive
43,884,48,3.7,Not worth the subscription fee.,2023-07-27,149,negative
44,481,8,4.0,Comedy that wasn't funny at all.,2023-07-10,180,negative
45,57,1,9.8,Best film this year.,2023-02-06,159,positive
46,754,16,9.3,Incredible performances all around.,2024-05-03,188,positive
47,701,8,2.9,Overhyped and underdelivered.,2025-01-17,34,negative
48,836,4,9.0,Stunning visuals and gripping story.,2024-02-11,101,positive
49,289,28,5.2,"Some good moments, some slow parts.",2024-05-01,130,neutral
50,810,33,9.7,Couldn't stop watching.,2024-04-23,134,positive
51,563,33,2.4,Comedy that wasn't funny at all.,2024-10-02,180,negative
52,743,32,6.8,Worth a watch on a lazy evening.,2024-12-18,148,neutral
53,489,6,9.6,Absolutely loved it!,2024-04-14,154,positive
54,863,19,8.9,Couldn't stop watching.,2023-02-25,96,positive
55,604,46,1.7,Weak plot and flat characters.,2024-10-15,183,negative
56,585,23,8.6,Emotional and thought-provoking.,2025-01-10,199,positive
57,754,14,4.0,Overhyped and underdelivered.,2024-06-13,101,negative
58,402,34,3.2,Overhyped and underdelivered.,2024-09-12,146,negative
59,538,20,7.1,Incredible performances all around.,2024-01-30,84,positive
60,62,42,7.1,Best film this year.,2023-05-24,66,positive
61,97,7,7.5,Emotional and thought-provoking.,2024-03-29,104,positive
62,383,7,1.9,Not worth the subscription fee.,2023-07-02,144,negative
63,290,39,5.9,Decent but forgettable.,2024-12-30,161,neutral
64,772,37,9.1,Absolutely loved it!,2024-07-06,69,positive
65,806,41,5.3,Worth a watch on a lazy evening.,2023-02-25,77,neutral
66,792,21,9.9,Couldn't stop watching.,2024-03-30,101,positive
67,72,10,6.1,Worth a watch on a lazy evening.,2024-05-17,96,neutral
68,156,8,4.8,Weak plot and flat characters.,2023-12-10,76,negative
69,647,21,7.2,Best film this year.,2025-01-08,58,positive
70,872,8,7.6,Emotional and thought-provoking.,2024-06-08,160,positive
71,196,44,3.2,Overhyped and underdelivered.,2024-08-13,150,negative
72,731,24,9.8,Incredible performances all around.,2023-02-21,8,positive
73,533,22,7.1,Absolutely loved it!,2025-03-08,7,positive
74,889,12,9.9,Stunning visuals and gripping story.,2023-02-02,55,positive
75,415,46,9.7,A masterpiece of modern cinema.,2024-05-17,185,positive
76,255,14,7.9,Emotional and thought-provoking.,2023-06-02,79,positive
77,65,19,2.8,Comedy that wasn't funny at all.,2024-08-09,123,negative
78,893,26,7.2,Stunning visuals and gripping story.,2025-03-13,120,positive
79,621,43,6.5,"Some good moments, some slow parts.",2025-01-15,36,neutral
80,985,42,5.2,"It was okay, nothing special.",2024-05-21,34,neutral
81,508,18,7.4,Emotional and thought-provoking.,2023-12-15,22,positive
82,925,31,7.0,Worth a watch on a lazy evening.,2024-12-01,145,neutral
83,432,16,7.4,Emotional and thought-provoking.,2023-03-03,169,positive
84,888,47,3.3,Disappointing compared to the trailer.,2024-09-29,107,negative
85,716,42,2.3,Comedy that wasn't funny at all.,2024-02-10,100,negative
86,176,31,8.1,Absolutely loved it!,2024-03-10,81,positive
87,949,45,9.1,A masterpiece of modern cinema.,2024-06-03,111,positive
88,167,14,8.1,A masterpiece of modern cinema.,2024-04-04,118,positive
89,99,44,2.9,Weak plot and flat characters.,2023-03-09,147,negative
90,605,37,4.4,Overhyped and underdelivered.,2024-09-11,22,negative
91,505,25,6.0,Worth a watch on a lazy evening.,2024-10-14,2,neutral
92,2,9,8.3,A masterpiece of modern cinema.,2024-03-10,198,positive
