spend_id,movie_id,channel,month,year,spend_usd,impressions,clicks,conversions,roi
1,1,Email,6,2024,869594.91,139924905,5385963,937288,2.14
2,1,Email,11,2024,2469611.15,212903803,13452943,1043435,3.02
3,1,Email,4,2024,2155547.07,239214466,15832788,2395151,1.72
4,1,Email,12,2024,2252784.03,245587190,12312470,1193227,3.55
5,1,Podcast,9,2024,1126639.31,115332599,7737407,743771,3.51
6,1,Podcast,2,2024,1901518.75,223005220,5884833,867281,2.42
7,1,Podcast,12,2024,1480862.68,131878851,10003356,1335876,3.44
8,1,Podcast,5,2024,1418075.6,212871235,12728454,2306443,3.37
9,1,Influencer,9,2024,1719828.25,248740105,12108321,1234345,1.93
10,1,Influencer,3,2024,552710.43,90873307,2333965,325548,1.88
11,1,Influencer,2,2024,970512.58,172884181,5990880,1105507,1.75
12,1,Influencer,1,2024,2697117.25,308670499,21566915,3650074,2.87
13,1,Social Media,5,2024,2790641.35,229380548,16432379,2336200,2.86
14,1,Social Media,4,2024,2085055.19,387015330,26266865,4863236,2.18
15,1,Digital Display,10,2024,1221021.08,191421630,7255990,954411,2.52
16,1,Digital Display,8,2024,828147.81,132243709,2779899,485980,3.52
17,1,TV Ads,10,2024,2931623.22,346010737,22584584,3901916,3.88
18,1,TV Ads,2,2024,2813306.87,362550216,24954892,2988030,2.07
19,1,TV Ads,5,2024,468296.55,40923588,1656440,203555,2.98
20,1,TV Ads,4,2024,2759191.72,419379381,10166652,803853,2.21
21,2,Social Media,4,2024,3613879.66,632780708,10448252,1355460,2.33
22,2,Social Media,8,2024,2676850.72,400400786,4476747,324657,1.93
23,2,Social Media,5,2024,4167192.43,478107570,23831096,1409744,3.91
24,2,Digital Display,6,2024,2744138.21,326234161,13847280,2720089,3.97
25,2,Digital Display,9,2024,693341.44,68490414,4569013,884010,2.74
26,2,Digital Display,8,2024,4079090.6,782027756,26770374,1507812,3.5
27,2,TV Ads,4,2024,3969954.42,363294623,10698579,1811424,3.97
28,2,TV Ads,12,2024,2532645.15,425769387,24056649,4162081,2.66
29,2,TV Ads,5,2024,731574.65,136994791,3564014,445229,3.13
30,2,TV Ads,1,2024,2198142.87,309261860,10009893,532236,3.33
