activity_id,viewer_id,movie_id,watch_date,watch_year,watch_month,watch_duration_min,completion_pct,device
1,427,8,2025-02-27,2025,2,62.1,66.1,Desktop
2,951,1,2024-10-11,2024,10,98.6,83.6,Tablet
3,56,20,2024-06-20,2024,6,54.1,61.5,Smart TV
4,335,33,2024-12-15,2024,12,62.0,53.9,Mobile
5,690,47,2024-02-07,2024,2,111.0,94.1,Desktop
6,590,33,2023-04-03,2023,4,62.1,54.0,Laptop
7,806,26,2023-06-01,2023,6,53.6,46.2,Mobile
8,488,37,2025-02-02,2025,2,45.7,36.0,Tablet
9,269,6,2024-02-13,2024,2,81.8,71.1,Smart TV
10,781,9,2024-05-07,2024,5,94.6,73.9,Tablet
11,405,42,2024-08-08,2024,8,57.1,51.9,Desktop
12,754,34,2023-09-10,2023,9,65.5,55.5,Laptop
13,796,28,2023-11-28,2023,11,107.6,79.7,Desktop
14,92,8,2024-11-18,2024,11,50.0,53.2,Smart TV
15,329,23,2024-08-31,2024,8,87.8,78.4,Laptop
16,174,23,2024-09-23,2024,9,95.6,85.4,Tablet
17,639,10,2024-03-27,2024,3,36.0,35.3,Smart TV
18,205,44,2024-01-18,2024,1,72.8,48.5,Mobile
19,116,48,2023-02-25,2023,2,67.8,55.6,Desktop
20,949,10,2025-04-19,2025,4,59.9,58.7,Laptop
21,711,8,2023-11-09,2023,11,23.0,24.5,Smart TV
22,758,35,2023-08-05,2023,8,55.3,60.8,Laptop
23,562,31,2024-09-29,2024,9,78.3,81.6,Smart TV
24,712,45,2024-11-15,2024,11,33.4,29.8,Desktop
25,928,43,2024-06-23,2024,6,34.6,35.0,Smart TV
26,62,19,2023-07-25,2023,7,99.2,84.1,Desktop
27,278,4,2024-04-21,2024,4,86.2,78.4,Mobile
28,69,25,2024-11-07,2024,11,83.5,57.6,Laptop
29,886,7,2023-01-20,2023,1,76.7,59.0,Tablet
30,237,25,2024-06-04,2024,6,137.3,94.7,Mobile
31,926,21,2024-05-11,2024,5,101.4,87.4,Desktop
32,91,12,2023-07-23,2023,7,85.2,71.0,Tablet
33,575,46,2023-01-23,2023,1,71.5,81.3,Laptop
34,342,32,2024-02-07,2024,2,115.1,82.2,Mobile
35,356,44,2023-12-27,2023,12,94.5,63.0,Laptop
36,242,33,2023-10-10,2023,10,97.8,85.0,Laptop
37,900,25,2025-04-14,2025,4,140.1,96.6,Desktop
38,972,18,2023-08-19,2023,8,60.6,48.1,Tablet
39,673,9,2023-03-31,2023,3,104.4,81.6,Desktop
40,984,44,2024-09-19,2024,9,131.4,87.6,Smart TV
41,428,16,2024-08-09,2024,8,47.2,48.2,Laptop
42,932,39,2023-12-04,2023,12,35.0,38.0,Smart TV
43,595,35,2024-12-01,2024,12,69.9,76.8,Laptop
44,706,46,2024-06-20,2024,6,49.7,56.5,Smart TV
45,672,37,2023-06-11,2023,6,77.0,60.6,Desktop
46,546,47,2023-05-02,2023,5,60.1,50.9,Smart TV
47,745,2,2025-02-22,2025,2,75.3,60.7,Tablet
48,985,27,2023-11-07,2023,11,70.0,82.4,Laptop
49,156,13,2023-04-20,2023,4,22.7,25.2,Desktop
50,632,18,2024-09-12,2024,9,93.6,74.3,Smart TV
51,611,15,2023-08-25,2023,8,91.0,79.8,Laptop
52,82,45,2025-03-09,2025,3,78.2,69.8,Desktop
53,867,39,2024-04-25,2024,4,49.4,53.7,Tablet
54,504,31,2023-05-21,2023,5,47.2,49.2,Smart TV
55,34,27,2025-02-21,2025,2,69.4,81.6,Tablet
56,228,48,2024-11-18,2024,11,117.4,96.2,Smart TV
57,68,12,2024-03-25,2024,3,104.9,87.4,Tablet
58,705,21,2024-04-13,2024,4,102.5,88.4,Tablet
59,415,3,2024-09-14,2024,9,116.2,81.8,Tablet
60,738,21,2024-02-08,2024,2,88.6,76.4,Desktop
61,609,35,2024-06-21,2024,6,62.2,68.4,Mobile
62,534,7,2024-04-07,2024,4,89.3,68.7,Mobile
63,899,16,2024-06-15,2024,6,71.4,72.9,Mobile
64,572,25,2024-06-12,2024,6,120.5,83.1,Mobile
65,195,19,2024-03-26,2024,3,77.3,65.5,Laptop
66,793,19,2024-04-17,2024,4,58.3,49.4,Laptop
67,628,4,2024-12-07,2024,12,79.0,71.8,Smart TV
68,475,42,2024-04-07,2024,4,45.9,41.7,Desktop
69,116,12,2025-03-08,2025,3,90.2,75.2,Desktop
70,139,26,2024-02-28,2024,2,70.8,61.0,Mobile
71,184,30,2024-08-27,2024,8,101.3,88.9,Smart TV
72,904,30,2023-04-03,2023,4,64.0,56.1,Smart TV
73,736,47,2023-05-07,2023,5,49.3,41.8,Tablet
74,650,24,2023-03-29,2023,3,72.2,72.2,Tablet
75,745,33,2024-09-18,2024,9,106.0,92.2,Tablet
76,564,25,2023-02-14,2023,2,120.6,83.2,Laptop
77,580,43,2023-06-03,2023,6,48.5,49.0,Smart TV
78,184,46,2023-02-22,2023,2,44.2,50.2,Tablet
79,296,41,2023-07-05,2023,7,52.7,44.7,Smart TV
80,984,13,2023-01-04,2023,1,42.1,46.8,Tablet
81,510,32,2024-07-10,2024,7,118.7,84.8,Desktop
82,904,32,2023-09-01,2023,9,75.0,53.6,Tablet
83,465,27,2024-03-28,2024,3,54.4,64.0,Smart TV
84,904,36,2023-10-12,2023,10,96.8,76.8,Desktop
85,840,14,2023-02-20,2023,2,75.5,51.0,Mobile
86,669,23,2023-02-07,2023,2,53.2,47.5,Mobile
87,684,37,2024-09-09,2024,9,75.4,59.4,Mobile
88,51,7,2024-03-02,2024,3,126.5,97.3,Smart TV
89,689,19,2024-09-17,2024,9,92.7,78.6,Desktop
90,587,36,2023-07-01,2023,7,117.9,93.6,Desktop
91,369,3,2023-04-06,2023,4,118.1,83.2,Laptop
92,378,25,2025-04-19,2025,4,56.3,38.8,Tablet
93,864,36,2023-03-08,2023,3,74.3,59.0,Smart TV
94,125,45,2023-10-09,2023,10,68.8,61.4,Tablet
