perf_id,city,state,country,movie_id,month,year,views,revenue_usd,avg_engagement_score,avg_watch_time_min
1,New York,NY,USA,46,11,2024,6978,48169.69,7.74,87.2
2,New York,NY,USA,46,4,2024,4931,22547.74,7.15,109.3
3,New York,NY,USA,46,9,2024,7820,70235.55,6.23,68.2
4,New York,NY,USA,46,1,2025,9594,113133.0,8.58,77.9
5,New York,NY,USA,46,6,2025,10805,114266.29,8.71,98.5
6,New York,NY,USA,46,10,2025,3830,33116.99,9.32,84.6
7,New York,NY,USA,46,5,2025,4831,28058.98,8.79,77.4
8,New York,NY,USA,46,7,2025,6411,55884.35,9.43,82.8
9,New York,NY,USA,46,4,2025,13557,122706.65,9.23,96.6
10,New York,NY,USA,26,6,2024,2401,12179.77,6.07,70.4
11,New York,NY,USA,26,5,2024,6401,37939.8,8.3,69.3
12,New York,NY,USA,26,12,2024,3928,26681.37,7.87,92.9
13,New York,NY,USA,26,1,2025,2955,31393.39,8.87,86.7
14,New York,NY,USA,26,4,2025,8087,85804.88,9.36,96.9
15,New York,NY,USA,26,7,2025,4028,21202.86,8.28,65.9
16,New York,NY,USA,26,5,2025,4219,35094.94,9.01,90.4
17,New York,NY,USA,26,12,2025,4827,41151.2,8.71,106.9
18,New York,NY,USA,33,2,2024,3843,21946.05,7.75,100.2
19,New York,NY,USA,33,6,2024,4888,44317.84,6.2,72.1
20,New York,NY,USA,33,3,2024,3761,43381.26,6.04,86.5
21,New York,NY,USA,33,12,2024,1527,18171.64,6.69,80.4
22,New York,NY,USA,33,4,2024,1122,9356.88,6.83,71.8
23,New York,NY,USA,33,8,2025,10917,93355.9,9.33,96.8
24,New York,NY,USA,33,3,2025,5230,46589.32,8.86,107.9
25,New York,NY,USA,33,12,2025,10180,115063.95,8.08,71.0
26,New York,NY,USA,43,7,2024,6688,78988.57,7.89,84.1
27,New York,NY,USA,43,12,2024,2563,23674.0,6.14,83.4
28,New York,NY,USA,43,3,2024,6506,67369.9,6.1,108.4
29,New York,NY,USA,43,4,2024,1965,19736.6,7.46,110.5
30,New York,NY,USA,43,1,2025,6427,31750.07,8.32,84.4
31,New York,NY,USA,43,4,2025,7983,75959.77,8.9,89.6
32,New York,NY,USA,43,5,2025,7911,47020.35,8.89,85.9
33,New York,NY,USA,43,11,2025,9043,45135.45,9.15,95.0
34,New York,NY,USA,43,6,2025,3659,39445.54,8.07,80.4
35,New York,NY,USA,43,8,2025,11199,128694.78,9.38,89.6
36,New York,NY,USA,28,5,2024,2106,12095.17,7.56,99.0
37,New York,NY,USA,28,2,2024,6387,27395.37,6.31,73.8
38,New York,NY,USA,28,6,2024,731,6313.49,8.48,80.2
39,New York,NY,USA,28,12,2024,7287,85069.04,7.44,72.3
40,New York,NY,USA,28,7,2024,942,5716.92,8.24,67.8
41,New York,NY,USA,28,8,2024,3249,24900.34,6.9,67.8
42,New York,NY,USA,28,6,2025,2937,26544.6,9.12,65.9
43,New York,NY,USA,28,3,2025,6384,58937.67,9.47,93.5
44,New York,NY,USA,28,11,2025,6606,53530.05,8.69,109.6
45,New York,NY,USA,28,8,2025,14027,162950.79,8.78,112.1
46,New York,NY,USA,28,2,2025,1035,10751.73,8.64,111.4
47,New York,NY,USA,28,5,2025,12319,101460.91,9.25,114.5
48,New York,NY,USA,36,9,2024,2115,24874.2,8.35,113.5
49,New York,NY,USA,36,11,2024,5075,24603.37,7.86,109.6
50,New York,NY,USA,36,10,2024,1284,11258.31,6.48,95.3
51,New York,NY,USA,36,2,2024,4643,54781.96,7.25,66.2
52,New York,NY,USA,36,8,2024,1970,20289.47,6.53,104.1
53,New York,NY,USA,36,12,2024,7511,31006.29,7.13,76.1
54,New York,NY,USA,36,5,2025,6908,55975.33,8.31,105.9
55,New York,NY,USA,36,6,2025,12025,96583.95,8.36,113.8
56,New York,NY,USA,36,11,2025,7419,72569.22,9.02,67.0
57,New York,NY,USA,36,2,2025,7734,73658.85,8.48,92.3
58,New York,NY,USA,2,2,2024,613,2894.39,7.54,86.8
59,New York,NY,USA,2,12,2024,6110,59834.24,8.19,92.3
60,New York,NY,USA,2,9,2024,5010,46282.4,8.43,114.5
61,New York,NY,USA,2,12,2025,8397,98363.99,8.17,69.9
62,New York,NY,USA,2,2,2025,4402,28043.86,8.83,66.6
63,New York,NY,USA,2,3,2025,12457,83613.65,9.47,96.6
64,New York,NY,USA,19,11,2024,3286,24310.3,7.53,94.2
65,New York,NY,USA,19,4,2024,996,7644.3,8.2,81.4
66,New York,NY,USA,19,12,2024,2167,16095.51,6.04,71.7
67,New York,NY,USA,19,8,2025,13858,67762.86,8.3,89.7
68,New York,NY,USA,19,2,2025,3502,31136.61,8.61,77.7
69,New York,NY,USA,19,9,2025,10083,98141.3,8.22,89.0
70,New York,NY,USA,19,7,2025,5430,42131.12,8.56,83.6
71,New York,NY,USA,19,10,2025,10423,110676.82,8.6,92.5
72,New York,NY,USA,19,5,2025,6741,64056.37,9.21,100.4
73,New York,NY,USA,32,9,2024,4183,29230.7,7.54,91.8
74,New York,NY,USA,32,1,2024,6466,28024.35,8.28,76.2
75,New York,NY,USA,32,5,2024,918,5250.87,6.07,84.2
76,New York,NY,USA,32,2,2024,820,8702.16,6.08,108.4
77,New York,NY,USA,32,1,2025,12366,50110.44,9.21,86.0
78,New York,NY,USA,32,4,2025,10483,93994.66,9.24,89.7
79,New York,NY,USA,32,9,2025,12364,95759.04,8.11,86.6
80,New York,NY,USA,32,5,2025,13197,149850.99,9.41,77.5
81,New York,NY,USA,32,8,2025,2061,19342.65,8.09,100.6
82,New York,NY,USA,41,6,2024,2543,13541.61,6.08,107.1
83,New York,NY,USA,41,10,2024,2331,19467.21,6.06,83.8
84,New York,NY,USA,41,8,2024,2866,13362.42,7.25,103.1
85,New York,NY,USA,41,12,2024,666,5128.3,6.34,73.4
86,New York,NY,USA,41,2,2024,7222,47981.16,8.01,86.9
87,New York,NY,USA,41,3,2025,4473,21913.4,9.36,73.1
88,New York,NY,USA,41,7,2025,8217,55902.07,8.29,82.9
89,New York,NY,USA,41,2,2025,8929,56437.88,8.99,79.9
90,New York,NY,USA,41,6,2025,13732,112577.4,8.23,106.2
91,New York,NY,USA,41,5,2025,13545,90141.7,9.18,84.0
92,New York,NY,USA,41,11,2025,3384,19252.68,8.99,73.5
93,New York,NY,USA,37,7,2024,6584,26439.94,6.85,80.5
94,New York,NY,USA,37,2,2024,7562,87364.74,7.66,105.5
95,New York,NY,USA,37,4,2024,7597,77926.48,8.23,73.8
96,New York,NY,USA,37,9,2025,11161,75889.51,9.24,106.9
97,New York,NY,USA,37,8,2025,7970,82653.27,9.18,90.2
98,New York,NY,USA,37,1,2025,10152,52557.12,8.9,104.7
99,New York,NY,USA,37,12,2025,5398,41796.27,8.14,108.0
100,New York,NY,USA,37,10,2025,13366,111916.63,8.26,95.8
101,New York,NY,USA,37,4,2025,3506,25229.21,8.66,79.2
102,New York,NY,USA,4,11,2024,3237,29599.46,8.31,111.4
103,New York,NY,USA,4,7,2024,994,8130.26,7.96,68.7
104,New York,NY,USA,4,10,2024,6107,66797.7,6.19,66.7
105,New York,NY,USA,4,11,2025,3034,30491.65,9.3,82.8
106,New York,NY,USA,4,1,2025,13989,143932.99,9.17,89.6
107,New York,NY,USA,4,2,2025,3151,24221.16,8.35,80.6
108,New York,NY,USA,4,3,2025,13629,109724.17,9.33,110.0
109,New York,NY,USA,38,11,2024,627,3345.35,7.76,113.9
110,New York,NY,USA,38,7,2024,5108,35697.49,6.26,111.0
111,New York,NY,USA,38,10,2024,4326,36752.63,7.77,69.6
112,New York,NY,USA,38,9,2024,4349,23715.46,7.74,106.3
113,New York,NY,USA,38,2,2025,2851,12792.98,9.29,78.3
114,New York,NY,USA,38,6,2025,12675,113686.34,8.01,94.7
115,New York,NY,USA,38,8,2025,3317,16197.99,8.61,98.7
116,New York,NY,USA,38,1,2025,13138,149293.66,8.44,102.2
117,New York,NY,USA,38,11,2025,6982,73239.22,9.0,70.5
118,Los Angeles,CA,USA,37,11,2024,7131,68200.62,7.89,73.4
119,Los Angeles,CA,USA,37,12,2024,3088,25015.79,8.06,88.3
120,Los Angeles,CA,USA,37,6,2024,5272,36483.58,8.71,82.5
121,Los Angeles,CA,USA,37,8,2024,3488,21774.46,8.98,70.0
122,Los Angeles,CA,USA,37,10,2024,4755,51962.94,8.23,81.2
123,Los Angeles,CA,USA,37,10,2025,1913,18136.02,8.43,74.8
124,Los Angeles,CA,USA,37,12,2025,3852,33797.6,8.1,73.0
125,Los Angeles,CA,USA,37,3,2025,6394,53898.68,8.92,82.6
126,Los Angeles,CA,USA,18,12,2024,2031,13010.38,8.15,102.2
127,Los Angeles,CA,USA,18,10,2024,7152,47819.36,8.86,65.4
128,Los Angeles,CA,USA,18,11,2024,1766,18161.89,7.87,95.4
129,Los Angeles,CA,USA,18,6,2024,5840,30767.58,8.19,110.9
130,Los Angeles,CA,USA,18,8,2024,6104,50717.37,8.19,72.9
