viewer_id,age,gender,city,country,subscription_tier,join_date,preferred_genre,device
1,23,Male,Mumbai,India,Premium,2021-05-16,Sci-Fi,Smart TV
2,22,Non-binary,Delhi,India,Free,2023-04-24,Drama,Mobile
3,21,Male,New York,USA,Basic,2022-10-31,Thriller,Mobile
4,28,Non-binary,Sydney,Australia,Family,2021-03-27,Drama,Desktop
5,67,Male,Phoenix,USA,Basic,2023-11-30,Drama,Laptop
6,25,Male,Phoenix,USA,Premium,2020-07-28,Action,Tablet
7,38,Female,Los Angeles,USA,Premium,2024-07-10,Action,Tablet
8,23,Female,Sydney,Australia,Free,2023-02-04,Comedy,Desktop
9,71,Female,Tokyo,Japan,Basic,2023-12-13,Action,Mobile
10,30,Female,Mumbai,India,Free,2024-10-17,Sci-Fi,Mobile
11,33,Female,Manchester,UK,Premium,2020-11-29,Comedy,Laptop
12,58,Female,Houston,USA,Free,2023-06-01,Romance,Smart TV
13,62,Male,Sydney,Australia,Basic,2022-08-04,Drama,Laptop
14,56,Non-binary,Tokyo,Japan,Basic,2023-11-03,Comedy,Mobile
15,68,Male,Houston,USA,Premium,2022-04-01,Comedy,Mobile
16,52,Non-binary,Houston,USA,Premium,2021-03-11,Romance,Tablet
17,72,Non-binary,Manchester,UK,Family,2020-10-19,Comedy,Smart TV
18,63,Non-binary,Houston,USA,Premium,2024-03-09,Thriller,Tablet
19,53,Female,Tokyo,Japan,Premium,2021-03-25,Sci-Fi,Desktop
20,21,Male,Toronto,Canada,Free,2020-11-09,Romance,Smart TV
21,59,Female,Berlin,Germany,Free,2022-02-27,Drama,Desktop
22,49,Female,Toronto,Canada,Free,2023-10-25,Romance,Mobile
23,72,Non-binary,Mumbai,India,Premium,2024-04-23,Romance,Laptop
24,34,Female,Los Angeles,USA,Basic,2022-07-18,Action,Laptop
25,64,Male,Sydney,Australia,Free,2024-11-17,Romance,Laptop
26,56,Non-binary,Paris,France,Basic,2020-11-09,Comedy,Smart TV
27,65,Non-binary,Sydney,Australia,Free,2023-05-11,Comedy,Tablet
28,23,Female,New York,USA,Premium,2021-05-05,Action,Smart TV
29,52,Male,Tokyo,Japan,Free,2024-02-07,Drama,Mobile
30,50,Male,Berlin,Germany,Basic,2023-09-13,Drama,Desktop
31,32,Non-binary,Chicago,USA,Family,2021-03-09,Thriller,Smart TV
32,35,Female,Delhi,India,Premium,2022-06-16,Thriller,Tablet
33,31,Male,Los Angeles,USA,Free,2021-11-23,Action,Desktop
34,30,Non-binary,Sydney,Australia,Basic,2020-01-15,Action,Mobile
35,20,Male,Houston,USA,Premium,2020-05-25,Thriller,Smart TV
36,58,Female,Phoenix,USA,Basic,2023-01-09,Sci-Fi,Desktop
37,46,Male,Melbourne,Australia,Family,2024-07-11,Drama,Smart TV
38,22,Non-binary,Los Angeles,USA,Family,2021-12-26,Drama,Tablet
39,71,Non-binary,Toronto,Canada,Free,2023-10-11,Romance,Mobile
40,41,Non-binary,New York,USA,Premium,2024-06-27,Historical Drama,Mobile
41,28,Male,Houston,USA,Family,2020-10-14,Drama,Smart TV
42,45,Male,Phoenix,USA,Free,2022-06-26,Historical Drama,Desktop
43,19,Non-binary,Los Angeles,USA,Free,2020-07-10,Historical Drama,Smart TV
44,42,Female,Chicago,USA,Family,2021-03-13,Historical Drama,Tablet
45,19,Male,Tokyo,Japan,Family,2020-01-05,Drama,Laptop
46,66,Female,Tokyo,Japan,Premium,2022-05-16,Romance,Desktop
47,61,Female,Mumbai,India,Basic,2021-01-23,Comedy,Smart TV
48,53,Non-binary,New York,USA,Free,2024-03-11,Comedy,Mobile
49,53,Female,New York,USA,Basic,2020-04-26,Thriller,Mobile
50,27,Male,Paris,France,Free,2023-10-14,Historical Drama,Smart TV
51,23,Non-binary,Manchester,UK,Basic,2023-03-31,Thriller,Mobile
52,21,Female,Melbourne,Australia,Premium,2025-03-29,Comedy,Smart TV
53,61,Female,Mumbai,India,Basic,2021-06-27,Drama,Smart TV
54,57,Female,Mumbai,India,Family,2021-10-09,Historical Drama,Mobile
55,45,Non-binary,New York,USA,Free,2020-05-30,Thriller,Smart TV
56,32,Male,Sydney,Australia,Premium,2024-12-09,Action,Smart TV
57,34,Male,London,UK,Family,2024-09-03,Thriller,Laptop
58,67,Non-binary,Melbourne,Australia,Free,2023-09-29,Historical Drama,Desktop
59,58,Male,Phoenix,USA,Basic,2021-06-25,Action,Mobile
60,51,Male,Delhi,India,Premium,2021-07-31,Thriller,Smart TV
61,37,Male,Delhi,India,Premium,2022-11-01,Drama,Laptop
62,70,Male,Tokyo,Japan,Free,2023-07-23,Drama,Laptop
63,16,Female,New York,USA,Basic,2023-07-28,Comedy,Smart TV
64,44,Non-binary,Delhi,India,Family,2023-02-22,Action,Mobile
65,72,Non-binary,Los Angeles,USA,Basic,2023-01-22,Action,Laptop
66,51,Male,Melbourne,Australia,Family,2020-09-18,Action,Laptop
67,66,Male,London,UK,Premium,2021-03-06,Romance,Smart TV
68,22,Female,Mumbai,India,Family,2023-06-25,Romance,Smart TV
69,31,Male,Tokyo,Japan,Basic,2024-12-10,Drama,Mobile
70,63,Female,Chicago,USA,Family,2024-06-30,Romance,Smart TV
71,26,Non-binary,Phoenix,USA,Free,2022-02-22,Historical Drama,Mobile
72,46,Male,Paris,France,Basic,2024-07-30,Drama,Laptop
73,68,Male,Phoenix,USA,Basic,2020-02-18,Romance,Smart TV
74,37,Female,Manchester,UK,Free,2024-05-02,Comedy,Laptop
75,48,Female,Mumbai,India,Premium,2025-04-07,Action,Mobile
76,32,Male,Tokyo,Japan,Premium,2020-03-19,Action,Desktop
77,38,Non-binary,Manchester,UK,Premium,2022-06-12,Thriller,Desktop
78,40,Non-binary,Los Angeles,USA,Basic,2021-06-05,Action,Tablet
79,49,Non-binary,New York,USA,Basic,2022-01-15,Drama,Mobile
80,37,Non-binary,Mumbai,India,Premium,2023-09-20,Historical Drama,Mobile
81,35,Non-binary,Delhi,India,Premium,2023-09-27,Drama,Laptop
82,60,Female,Manchester,UK,Basic,2021-01-27,Drama,Tablet
83,63,Male,Mumbai,India,Premium,2022-04-11,Thriller,Mobile
84,34,Male,Phoenix,USA,Family,2024-05-28,Thriller,Desktop
85,36,Female,Mumbai,India,Family,2022-06-24,Romance,Smart TV
86,46,Non-binary,Sydney,Australia,Basic,2023-09-11,Action,Laptop
87,58,Non-binary,Sydney,Australia,Premium,2020-07-10,Historical Drama,Smart TV
88,35,Male,Mumbai,India,Basic,2020-10-28,Action,Mobile
89,46,Non-binary,Houston,USA,Free,2022-07-21,Drama,Desktop
90,61,Non-binary,Houston,USA,Family,2022-10-09,Drama,Smart TV
91,57,Non-binary,Chicago,USA,Free,2025-01-02,Historical Drama,Mobile
92,43,Male,Berlin,Germany,Basic,2024-07-04,Romance,Desktop
93,19,Non-binary,Toronto,Canada,Basic,2025-02-21,Historical Drama,Mobile
94,24,Female,Toronto,Canada,Premium,2025-04-29,Historical Drama,Tablet
95,68,Non-binary,Melbourne,Australia,Family,2024-08-28,Thriller,Tablet
96,26,Non-binary,Tokyo,Japan,Family,2022-07-10,Comedy,Smart TV
97,56,Female,Paris,France,Family,2023-07-07,Sci-Fi,Laptop
98,20,Non-binary,Toronto,Canada,Premium,2021-04-25,Comedy,Laptop
